split,class,image,label_source,confidence,x_center,y_center,width,height,source
train,smart_board,data\yolo_sws405\images\train\smart_board_00001_SMART_Technologies_board_office_Image_61.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\SMART_Technologies_board_office_Image_61.jpg
train,router,data\yolo_sws405\images\train\router_00002_Image_32.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\routers\Image_32.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00003_BenQ_interactive_flat_panel_school_Image_52.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_52.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00004_computer_lab_desktop_computers_Image_9.jpg,model_pseudo,0.9348,0.050365,0.589489,0.100731,0.270782,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_9.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00005_computer_lab_desktop_computers_Image_97.jpg,model_pseudo,0.9395,0.510480,0.526568,0.761814,0.798648,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_97.jpg
train,router,data\yolo_sws405\images\train\router_00006_Image_50.jpg,model_pseudo,0.8848,0.501341,0.500000,0.991065,1.000000,data\raw\routers\Image_50.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00007_outdoor_bullet_security_camera_mounted_Image_10.jpg,model_pseudo,0.9458,0.667552,0.426602,0.344355,0.637806,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_10.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00008_computer_lab_desktop_computers_Image_85.jpg,model_pseudo,0.8821,0.508946,0.531295,0.142255,0.171068,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_85.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00009_BenQ_interactive_flat_panel_school_Image_38.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_38.jpg
train,router,data\yolo_sws405\images\train\router_00010_home_wifi_router_with_antennas_Image_60.jpg,model_pseudo,0.9387,0.500754,0.543477,0.806827,0.468489,data\raw\routers\home_wifi_router_with_antennas_Image_60.webp
train,smart_board,data\yolo_sws405\images\train\smart_board_00011_Promethean_interactive_display_classroom_Image_24.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Promethean_interactive_display_classroom_Image_24.jpg
