epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.146,1.22935,2.88335,1.63873,0.6539,0.36436,0.47475,0.26118,1.55697,2.6062,2.35307,0.000414286,0.000414286,0.000414286
2,551.601,1.20926,2.2613,1.63225,0.46236,0.45129,0.41229,0.19118,1.58955,2.73211,2.37548,0.00077611,0.00077611,0.00077611
3,819.777,1.24481,2.12685,1.65793,0.32857,0.50984,0.34808,0.15312,1.72663,2.4799,2.43163,0.00108293,0.00108293,0.00108293
4,1087.79,1.23654,2.03826,1.64869,0.54153,0.59117,0.51351,0.27263,1.54338,2.25309,2.42309,0.0010025,0.0010025,0.0010025
5,1354.92,1.23293,2.04857,1.6318,0.48193,0.49666,0.52171,0.30037,1.36726,1.9863,2.00909,0.00092,0.00092,0.00092
6,1622.85,1.20971,2.14381,1.84303,0.69109,0.61133,0.57515,0.32796,1.33401,1.94286,2.09039,0.0008375,0.0008375,0.0008375
7,1889.87,1.21135,1.89415,1.84768,0.61925,0.52924,0.59524,0.33934,1.26029,1.71222,1.95064,0.000755,0.000755,0.000755
8,2157.18,1.116,1.7614,1.74734,0.68933,0.63216,0.70984,0.45454,1.22357,1.44052,1.87958,0.0006725,0.0006725,0.0006725
9,2427.18,1.03079,1.62539,1.63336,0.67174,0.77935,0.73292,0.49309,1.08204,1.42363,1.69934,0.00059,0.00059,0.00059
10,2696.39,0.94747,1.50345,1.5768,0.62832,0.73234,0.73543,0.52021,1.02293,1.31226,1.63354,0.0005075,0.0005075,0.0005075
11,2964.19,0.90204,1.39626,1.53329,0.77144,0.60948,0.74297,0.54503,0.91777,1.32372,1.53185,0.000425,0.000425,0.000425
12,3234.57,0.8535,1.27645,1.47619,0.78017,0.7983,0.827,0.61766,0.91763,1.05592,1.48823,0.0003425,0.0003425,0.0003425
13,3505.83,0.78292,1.22681,1.41261,0.74318,0.80691,0.84009,0.65662,0.7846,1.04232,1.36115,0.00026,0.00026,0.00026
14,3773.94,0.72804,1.14912,1.37345,0.74273,0.77265,0.82044,0.6282,0.84577,1.05395,1.39923,0.0001775,0.0001775,0.0001775
15,4044.23,0.69095,1.07091,1.31959,0.75779,0.83025,0.85512,0.6628,0.79966,1.00174,1.34482,9.5e-05,9.5e-05,9.5e-05
