epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.446,1.22524,2.87265,1.64014,0.31414,0.4739,0.37175,0.2142,1.43798,2.87416,2.17459,0.000414286,0.000414286,0.000414286
2,560.492,1.21434,2.21313,1.63519,0.30607,0.44664,0.32115,0.12583,1.80685,3.40348,2.44429,0.000821964,0.000821964,0.000821964
3,838.919,1.26878,2.11453,1.67267,0.32657,0.43754,0.3475,0.14084,1.8822,2.85756,2.63113,0.00119423,0.00119423,0.00119423
4,1117.48,1.33513,2.11758,1.72576,0.56326,0.40165,0.37139,0.18817,1.48645,2.50727,2.24475,0.00113183,0.00113183,0.00113183
5,1394.06,1.28585,2.0502,1.67108,0.49282,0.52099,0.50252,0.27595,1.41313,2.14571,2.09005,0.00104527,0.00104527,0.00104527
6,1669.06,1.30486,2.16867,1.94611,0.52586,0.52181,0.55947,0.31335,1.42109,2.1288,2.05769,0.000940625,0.000940625,0.000940625
7,1943.76,1.22927,1.89086,1.87296,0.61415,0.67226,0.64724,0.40014,1.35848,1.69292,1.99329,0.000822454,0.000822454,0.000822454
8,2219.25,1.12183,1.75701,1.75494,0.912,0.56077,0.67677,0.41907,1.28985,1.5548,1.94325,0.000695927,0.000695927,0.000695927
9,2493.24,1.07087,1.66611,1.68287,0.92947,0.59289,0.73422,0.50311,1.05895,1.42939,1.67737,0.000566573,0.000566573,0.000566573
10,2766.86,0.95603,1.49867,1.56006,0.74494,0.69059,0.74944,0.49336,1.08946,1.34896,1.75704,0.000440046,0.000440046,0.000440046
11,3041.74,0.89441,1.38875,1.52003,0.67809,0.71266,0.753,0.55426,0.96931,1.29016,1.53298,0.000321875,0.000321875,0.000321875
12,3318.77,0.81815,1.27166,1.44103,0.72945,0.70695,0.79126,0.59721,0.91964,1.15749,1.50498,0.000217225,0.000217225,0.000217225
13,3594.74,0.77984,1.20307,1.41246,0.78466,0.72618,0.7921,0.60186,0.83997,1.14337,1.40465,0.000130671,0.000130671,0.000130671
14,3869.69,0.7304,1.11078,1.3702,0.85099,0.73395,0.82781,0.62592,0.87051,1.10941,1.44984,6.59937e-05,6.59937e-05,6.59937e-05
15,4146.96,0.73138,1.11985,1.35399,0.88043,0.76593,0.85469,0.64743,0.83879,1.04873,1.4025,2.60212e-05,2.60212e-05,2.60212e-05
